id,name,structure,city,postal,web,priority,logo_url
ry,Les 2 Rives,Société,Strasbourg,67100,https://www.scop-les2rives.eu/,1,
rz,Les Ateliers de la Bergerette,Association,Beauvais,60000,http://www.ateliers-bergerette.org/,1,
s1,Les Ateliers de Saint Gaudent,Société,Saint-Gaudent,86400,https://opalis.eu/fr/revendeurs/les-ateliers-de-saint-gaudent,1,
yG,Les Bâtineurs,Société,Le Petit-Quevilly,76140,www.lesbatineurs.com,1,
s5,Les Chantiers du Réemploi,Association,La Gaubretière,85130,https://www.leschantiersdureemploi.fr/la-materiautheque/,1,
s8,Les Matériaux Anciens Jean Chabaud,Société,Apt,84400,https://www.chabaud-materiaux-anciens.com/,1,
s9,Les Matériaux Anciens Jean Chabaud,Société,Maillane,13910,https://www.chabaud-materiaux-anciens.com/,1,
sB,Les Matériaux d'Antan,Société,Brains-sur-Gée,72550,https://www.les-materiaux-d-antan.fr/,1,
sE,Les Rayons - Régie de quartier de Stains,Association,Stains,93240,https://co.inseinesaintdenis.fr/le-bottin/regie-de-quartier-de-stains-2/,1,
sG,Les Saprophytes - FAB,Association,Roubaix,59100,http://www.les-saprophytes.org/project/fabrique-darchitectures-bricolee/,1,
16w,LNArchitecture,Acteur Envirobat Centre-Val de Loire,Tours,37000,https://lnarchitecture.fr,1,
z1,LUMIDAS (D&S International SA),Société,Geneva,1207,http://www.lumidas.ch/,1,
zx,MAT'LOW,Association,Vannes,56000,https://www.ec-56.bzh/,1,
sZ,Matériaux Anciens A. Lavillauggouet,Société,Canapville,14800,http://www.vieuxmateriaux.com/,1,
sf,Matériaux Anciens Jean-Claude l'Enfant,Société,Villeblevin,89340,http://www.materiaux-anciens-jcl.com/,1,
wf,Matériaux Authentiques,Société,Mouvaux,59420,https://materiaux-authentiques.com/,1,
sg,Matériaux d’Antan,Société,Aix-en-Provence,13540,https://materiauxdantan.fr/fr/,1,
sh,Matériaux d’Antan,Société,La Mézière,35520,http://www.materiauxdantan.net/,1,
sj,Matériaux Nobles Gazut et Fils,Société,Montlandon,28240,https://www.materiaux-nobles.com/,1,
sk,Matériaux Nobles Gazut et Fils,Société,Sainte-Feyre,23000,https://www.materiaux-nobles.com/,1,
11R,Menuiserie FIXART,Société,Vénissieux,69200,www.fixart.fr,1,
st,Menuiserie Fouque,Société,Arles,13200,https://fouque.fr/boutique/,1,
sy,Michel Matériaux Anciens,Société,Auxerre,89000,http://www.michel-materiaux-anciens.fr/,1,
t4,Multimat,Société,Bosc-le-Hard,76850,http://www.multimat76.com/c29/produits-d-occasions,1,
t5,Munima,Société,Tassin-la-Demi-Lune,69160,https://www.munima.fr/,1,
ss,Méandre Etc,Société,Montreuil,93100,https://www.meandre-etc.fr/,1,
t8,NECI Normandie,Autre,Rouen,76000,https://neci.normandie.fr/clubs/le-reemploi-dans-le-batiment,1,
t9,Nedelec,Société,Landivisiau,29400,https://opalis.eu/fr/revendeurs/nedelec,1,
tH,Nord Antique,Société,Seclin,59113,https://www.nord-antique.com/,1,
tI,Noria et Cie,Association,Saint-Nicolas-de-Redon,44460,http://www.noria-cie.com/,1,
tL,Occa mat,Société,Sallebœuf,33370,https://occamat33.fr/,1,
tM,Olivier de Bonfils,Société,Liorac-sur-Louyre,24520,http://olivierdebonfils.chez-alice.fr/,1,
10d,On n'est pas que des cageots,Association,Saint-Brieuc,22000,http://www.descageots.fr,1,
tP,Opal reemploi,Association,Boulogne-sur-Mer,62200,http://opalreemploi.com,1,
tQ,Opalis,Autre,Evere,1140,https://opalis.eu/fr,1,
tR,Origines,Société,Marcellus,47200,https://www.origines.fr/,1,
